,make,model,year,kms,kind,price
3521,Volkswagen,Tiguan,2011,125000,SUV,12297.3
451,Volkswagen,Fox,2014,43000,Hatchback,7567.57
6634,Volkswagen,Amarok,2012,144000,Pick-Up,16729.73
4111,Ford,Focus II,2012,86000,Hatchback,6486.49
3487,Volkswagen,Amarok,2012,172936,Pick-Up,13486.49
6445,Ford,Ecosport,2013,73200,SUV,11027.03
8010,Ford,Ka,2013,93000,Hatchback,3972.97
7530,Ford,Ecosport,2015,24000,SUV,10267.57
7982,Ford,Ecosport,2014,78000,SUV,10000.0
86,Volkswagen,Suran,2015,67900,Monovolumen,8054.05
4904,Ford,Fiesta Kinetic Design,2014,46000,Hatchback,9729.73
5989,Ford,Fiesta Kinetic Design,2016,23005,Hatchback,8540.27
5726,Ford,Fiesta Kinetic Design,2013,105000,Hatchback,7432.43
5274,Ford,Fiesta Kinetic Design,2012,68000,Hatchback,6351.35
8385,Ford,Fiesta Kinetic Design,2013,85000,Hatchback,7837.84
9558,Volkswagen,Golf,2017,21000,Hatchback,21081.08
1057,Honda,HR-V,2017,10500,SUV,22297.3
6633,Volkswagen,Gol,2013,39371,Hatchback,4783.78
3000,Ford,Ranger,2014,75000,Pick-Up,18648.65
8191,Honda,CR-V,2013,87000,SUV,14864.86
6257,Volkswagen,Suran,2011,65000,Monovolumen,6351.35
6752,Ford,Ecosport,2012,90000,SUV,7297.3
9747,Ford,Ka,2012,61000,Hatchback,4297.3
4627,Volkswagen,Gol Trend,2015,33400,Hatchback,7432.43
8921,Ford,Ecosport,2013,80000,SUV,9459.46
6523,Volkswagen,The Beetle,2014,47000,Hatchback,12405.41
1185,Volkswagen,Suran,2014,53400,Monovolumen,7567.57
6984,Ford,Ranger,2012,125000,Pick-Up,12972.97
5094,Volkswagen,Vento,2011,80300,Sedán,9459.46
4659,Ford,Ecosport,2011,75000,SUV,5835.14
8014,Volkswagen,Gol Trend,2012,82500,Hatchback,5216.22
999,Ford,Fiesta,2011,97000,Sedán,5081.08
4990,Honda,HR-V,2016,40000,SUV,459.46
3201,Volkswagen,Suran,2013,106000,Monovolumen,7027.03
301,Volkswagen,The Beetle,2015,37000,Hatchback,13783.78
6784,Volkswagen,Gol Trend,2011,90000,Hatchback,4567.57
9332,Ford,Fiesta Kinetic Design,2011,85000,Hatchback,7432.43
1961,Volkswagen,Gol Trend,2016,53000,Hatchback,6729.73
6056,Volkswagen,Vento,2015,50000,Sedán,11621.62
1856,Volkswagen,Amarok,2014,80000,Pick-Up,20270.27
3528,Ford,Ecosport,2013,51000,SUV,9864.86
7724,Volkswagen,Fox,2013,45900,Hatchback,6891.89
4720,Honda,Civic,2012,79500,Sedán,9189.19
8600,Ford,Focus III,2016,39000,Sedán,13378.38
794,Ford,Ranger,2014,57500,Pick-Up,19459.46
602,Ford,Focus III,2014,60000,Sedán,10000.0
7136,Ford,Ranger,2013,100000,Pick-Up,16756.76
4611,Volkswagen,Gol Trend,2017,8000,Hatchback,7432.43
3422,Honda,Fit,2013,61000,Hatchback,6216.22
3647,Mercedes Benz,Clase A,2013,73000,Hatchback,16486.49
5357,Ford,Fiesta Kinetic Design,2012,75000,Hatchback,6486.49
1059,Volkswagen,Amarok,2013,130000,Pick-Up,11864.86
462,Honda,Civic,2014,60000,Sedán,10135.14
8721,Volkswagen,Voyage,2017,10830,Sedán,8108.11
8892,Volkswagen,Gol Trend,2012,82000,Hatchback,6216.22
123,Volkswagen,Gol Trend,2013,51000,Hatchback,7000.0
6197,Volkswagen,Gol Trend,2011,93000,Hatchback,4540.54
7073,Volkswagen,Voyage,2016,16000,Sedán,7243.24
511,Volkswagen,Gol Trend,2015,35000,Hatchback,6486.49
6998,Volkswagen,Gol,2011,77000,Hatchback,3918.92
5363,Volkswagen,Vento,2016,36000,Sedán,14729.73
9552,Volkswagen,Fox,2012,93000,Hatchback,5108.11
5042,Volkswagen,Gol Trend,2012,74000,Hatchback,5135.14
2996,Mercedes Benz,Clase A,2014,19434,Hatchback,1051.35
3712,Honda,City,2012,97000,Sedán,6216.22
188,Volkswagen,Fox,2013,64000,Hatchback,6810.81
9046,Ford,Ranger,2011,165000,Pick-Up,7027.03
1526,Volkswagen,Vento,2012,67000,Sedán,10270.27
2937,Ford,Ecosport,2015,60000,SUV,9459.19
8993,Ford,Kuga,2011,120000,SUV,11324.32
3287,Volkswagen,Suran,2011,149900,Monovolumen,5648.65
7936,Ford,Ecosport,2011,89000,SUV,6213.51
4602,Honda,Civic,2013,80000,Sedán,10270.27
6786,Ford,Focus III,2014,64000,Hatchback,9864.86
3979,Volkswagen,Amarok,2014,141000,Pick-Up,18918.92
2028,Ford,Fiesta Kinetic Design,2015,44500,Hatchback,10540.54
2725,Honda,Civic,2012,78900,Sedán,9972.97
3983,Ford,Ecosport,2015,39000,SUV,9862.16
9982,Volkswagen,Vento,2012,140000,Sedán,9189.19
3735,Ford,Focus III,2014,38000,Hatchback,9297.3
3991,Honda,City,2012,137000,Sedán,6729.73
3606,Ford,Focus III,2014,39800,Hatchback,10945.95
6913,Honda,CR-V,2013,70000,SUV,15810.81
6079,Volkswagen,Suran Cross,2015,55000,Monovolumen,9459.46
1556,Ford,Focus III,2015,54000,Hatchback,10675.68
2128,Mercedes Benz,Clase GLA,2018,11000,SUV,1297.3
